Macs IPs ACKs
c8:f6:50:cc:65:1c 10.144.219.159 4
c8:f6:50:a1:9a:97 10.173.216.188 3
78:3a:84:92:bb:8c 10.114.222.17 2
00:10:49:12:01:26 10.2.226.51 1
78:3a:84:c6:a9:25 10.121.222.4 2
c8:f6:50:d7:32:c7 10.115.220.137 5
00:10:49:16:d1:4d 10.191.239.242 1
c8:f6:50:a1:98:26 10.101.222.66 2
c8:f6:50:d5:e8:ac 10.172.217.181 1
00:1a:4b:0f:18:0a 10.147.79.26 1
00:23:12:25:39:61 10.109.221.146 1
6c:70:9f:7a:9e:58 10.126.220.169 2
10:9a:dd:54:ec:83 10.191.102.252 1
c8:f6:50:cd:63:26 10.171.205.185 1
5c:96:9d:8f:a0:b5 10.126.222.40 1
c8:f6:50:cc:44:99 10.171.205.240 1
78:3a:84:ca:8d:64 10.121.221.132 2
a0:b3:cc:9f:72:33 10.191.79.35 1
c8:f6:50:a1:d9:56 10.105.200.7 3
c8:f6:50:e1:5c:6f 10.173.215.254 3
78:3a:84:b1:b1:f1 10.144.220.141 3
c8:f6:50:a1:fa:c1 10.106.222.43 3
c8:f6:50:e3:b4:24 10.173.217.79 3
a8:88:08:ce:56:f7 10.171.214.243 2
00:10:49:17:8b:59 10.191.239.159 1
c8:f6:50:d6:e1:01 10.119.221.99 3
78:3a:84:ca:fe:41 10.104.221.9 2
78:3a:84:8a:27:1f 10.122.221.128 2
04:0c:ce:1b:3e:bf 10.172.221.88 1
c8:f6:50:a1:e6:d1 10.101.222.68 2
2c:f0:ee:22:8b:96 10.104.221.49 1
00:10:49:17:8a:9d 10.191.239.167 1
c8:f6:50:cc:35:f3 10.144.219.145 2
78:3a:84:ad:aa:a2 10.122.221.117 4
78:3a:84:93:08:11 10.122.221.142 3
78:fd:94:2f:d6:90 10.142.220.252 1
78:3a:84:b1:5c:dc 10.104.220.254 2
6c:f3:7f:ca:31:03 10.192.125.244 1
78:3a:84:cc:9b:20 10.120.219.239 2
c8:f6:50:d5:a9:d3 10.172.217.176 1
00:10:49:1c:27:05 10.191.239.119 1
78:fd:94:3e:db:de 10.120.219.244 1
04:0c:ce:1b:44:84 10.143.222.62 2
c8:f6:50:a1:d2:97 10.173.216.192 2
6c:70:9f:7b:5b:87 10.122.222.145 2
c8:f6:50:e7:75:73 10.105.199.232 3
c8:f6:50:cc:76:24 10.142.220.117 2
c8:f6:50:cc:3b:e7 10.142.220.172 2
c8:f6:50:a2:e5:16 10.126.220.132 4
c8:f6:50:d6:da:48 10.103.221.82 3
04:0c:ce:1b:46:5e 10.172.220.128 1
c8:f6:50:a3:ed:a4 10.103.221.62 3
c8:f6:50:a3:bd:e0 10.119.222.41 2
c8:f6:50:e6:06:2a 10.103.221.65 2
10:ae:60:dd:8d:01 10.191.212.186 2
00:23:12:25:4c:76 10.143.223.97 1
04:e5:36:09:1c:d3 10.103.222.114 2
c8:f6:50:a2:f2:e0 10.119.222.44 3
c8:f6:50:e6:fe:9d 10.142.221.35 3
78:4b:87:50:05:7c 10.191.177.116 1
c8:f6:50:a2:17:66 10.106.222.44 2
c8:f6:50:e7:96:0f 10.126.220.165 3
78:3a:84:c1:df:17 10.144.220.107 3
78:3a:84:af:92:4e 10.122.221.123 2
2c:f0:ee:92:df:bd 10.171.207.12 1
6c:70:9f:74:f7:7f 10.172.219.36 4
04:e5:36:06:7e:dd 10.103.222.107 3
78:3a:84:c7:ab:ac 10.192.197.183 3
78:fd:94:3f:97:d6 10.103.221.101 3
c8:f6:50:a1:d1:73 10.111.221.132 4
c8:f6:50:a2:c1:9f 10.126.220.140 1
78:3a:84:be:90:61 10.124.222.12 1
04:e5:36:0a:d9:7b 10.103.222.104 3
2c:f0:ee:91:95:1a 10.171.206.235 1
c8:f6:50:d7:33:52 10.119.221.92 3
c8:f6:50:a6:89:5a 10.123.220.211 2
c8:f6:50:a2:81:e7 10.126.220.98 1
c8:f6:50:a1:d6:f5 10.125.222.70 2
78:3a:84:b0:ac:c9 10.104.221.8 3
c8:f6:50:d6:e4:34 10.171.205.227 2
04:0c:ce:1b:42:fb 10.146.222.195 1
c8:f6:50:a1:a9:b8 10.113.220.164 3
6c:70:9f:79:b1:99 10.172.219.32 3
78:fd:94:2d:e1:12 10.106.221.141 2
78:3a:84:bc:72:36 10.131.222.142 4
c8:f6:50:df:c9:c8 10.101.222.55 3
d8:c7:c8:c1:ab:64 10.113.107.119 1
78:3a:84:b2:6c:5f 10.122.221.143 4
c8:f6:50:a1:d0:21 10.141.217.7 3
78:3a:84:b8:c9:83 10.104.220.255 2
78:3a:84:af:bb:49 10.126.219.115 1
78:fd:94:41:b7:38 10.121.221.140 2
6c:70:9f:7b:26:6e 10.126.220.156 1
78:3a:84:92:f5:01 10.171.206.31 3
78:3a:84:b7:46:95 10.122.221.130 2
6c:70:9f:7b:50:b9 10.122.222.115 3
78:3a:84:b1:5c:19 10.121.222.0 3
c8:f6:50:e0:e6:c5 10.126.220.166 3
d8:c7:c8:c1:ab:4f 10.173.127.233 1
c8:f6:50:a1:d4:b4 10.111.221.118 4
a8:88:08:c1:8a:45 10.171.214.234 3
c8:bc:c8:c7:f6:91 10.141.218.122 1
a8:88:08:d1:9d:8b 10.103.222.142 3
00:23:12:24:2d:3b 10.147.218.128 1
c8:f6:50:a2:39:ba 10.119.222.27 3
78:3a:84:ba:3d:83 10.131.222.70 2
78:3a:84:89:b4:56 10.131.222.66 3
78:fd:94:40:27:ea 10.121.222.7 4
c8:f6:50:e0:e2:0f 10.173.216.2 3
c8:f6:50:d5:f6:f4 10.105.200.15 3
c8:f6:50:e0:ff:1c 10.115.220.208 3
78:3a:84:c5:55:e6 10.111.221.116 3
c8:f6:50:e6:7c:e5 10.173.215.246 3
c8:f6:50:e7:9f:c3 10.172.216.88 1
